Month,Month_align,Month_align1,Month_align2,N_sample,T_median,T_95CL,T_SE,d18Osw_median,d18Osw_95CL,d18Ow_SE,species
1,6,5,4,10,28.38,1.87,1.031746268,0.97,0.31,0.171038151,R_diluvianum
2,7,6,5,6,29,3.38,1.739416581,0.98,0.49,0.252163942,R_diluvianum
3,8,7,6,10,29.2,2.3,1.268992736,1.08,0.36,0.19862495,R_diluvianum
4,9,8,7,12,29.14,1.94,1.088488776,1.07,0.31,0.173933773,R_diluvianum
5,10,9,8,12,26.12,1.88,1.054824175,0.75,0.29,0.16271224,R_diluvianum
6,11,10,9,25,23.92,1.43,0.837167541,0.51,0.21,0.122940688,R_diluvianum
7,12,11,10,27,20.69,1.32,0.774971499,0.16,0.21,0.12329092,R_diluvianum
8,1,12,11,22,19.63,1.79,1.042428363,0,0.27,0.157237798,R_diluvianum
9,2,1,12,27,20.03,1.89,1.109618283,0.06,0.27,0.158516898,R_diluvianum
10,3,2,1,19,20.99,2.16,1.249181084,0.19,0.31,0.179280619,R_diluvianum
11,4,3,2,15,23.52,2.1,1.197911967,0.43,0.3,0.171130281,R_diluvianum
12,5,4,3,13,24.24,2.03,1.146288169,0.54,0.3,0.169402192,R_diluvianum
1,2,1,12,36,14.63,1.52,0.900315144,-0.79,0.17,0.100693141,A_incurva
2,3,2,1,20,13.54,1.22,0.707361915,-0.89,0.18,0.104364873,A_incurva
3,4,3,2,26,14.14,1.12,0.656653514,-0.86,0.16,0.093807645,A_incurva
4,5,4,3,20,16,2.49,1.443714073,-0.74,0.26,0.150749261,A_incurva
5,6,5,4,14,15.14,2.72,1.544304972,-0.76,0.29,0.164650162,A_incurva
6,7,6,5,1,25.42,5.84,0.924965131,-0.1,1.21,0.191645173,A_incurva
7,8,7,6,2,25.68,4.21,1.441787942,-0.08,0.87,0.297946677,A_incurva
8,9,8,7,1,14.97,3.26,0.516333275,-0.81,0.73,0.115620641,A_incurva
9,10,9,8,2,16.93,2.54,0.869867309,-0.66,0.53,0.181507746,A_incurva
10,11,10,9,4,12.71,2.26,1.060113707,-0.95,0.4,0.187630745,A_incurva
11,12,11,10,1,12.72,3.38,0.535339408,-0.96,0.77,0.121956019,A_incurva
12,1,12,11,23,15.12,2.29,1.33615616,-0.77,0.24,0.140033833,A_incurva
1,5,4,3,33,21.24,1.68,0.992696408,-0.95,0.31,0.183176123,B_suecicus
2,6,5,4,26,22.53,1.73,1.01429516,-0.83,0.33,0.193478267,B_suecicus
3,7,6,5,22,24,2.27,1.321962226,-0.68,0.4,0.232944886,B_suecicus
4,8,7,6,21,24.84,2.62,1.522598173,-0.55,0.45,0.261514953,B_suecicus
5,9,8,7,10,22.3,2.94,1.622103759,-0.85,0.55,0.303454785,B_suecicus
6,10,9,8,3,17.54,4.72,2.005640068,-1.37,0.98,0.416425268,B_suecicus
7,11,10,9,6,17.19,3.17,1.63134632,-1.42,0.68,0.349941797,B_suecicus
8,12,11,10,11,18.45,3.29,1.83196604,-1.25,0.59,0.328528864,B_suecicus
9,1,12,11,1,17.18,7.31,1.157790259,-1.44,1.63,0.258166638,B_suecicus
10,2,1,12,7,13.69,3.86,2.037392373,-1.81,0.78,0.411701049,B_suecicus
11,3,2,1,18,14.22,2.38,1.372498674,-1.73,0.47,0.271039654,B_suecicus
12,4,3,2,20,18.61,2.02,1.171205795,-1.25,0.39,0.226123891,B_suecicus
