Month,Precipitation
1,3.428224905
1,2.58197324
1,3.85865313
1,3.660850064
1,3.468367201
1,3.071578906
1,5.356701231
1,4.226448422
1,3.527493251
1,4.382903455
1,4.642070853
1,3.464389779
2,3.045743576
2,2.171844518
2,3.094533167
2,2.992818458
2,3.279007436
2,2.73483668
2,4.248437716
2,3.476666228
2,2.993390837
2,3.452769318
2,3.848418198
2,2.669936861
3,2.692316228
3,1.854056341
3,2.5566875
3,2.454425715
3,2.838456491
3,2.327125717
3,3.010702401
3,2.408207272
3,2.206997591
3,2.243229729
3,2.444051381
3,1.812446164
4,2.023279894
4,1.556325011
4,2.263002272
4,2.084991394
4,3.199411836
4,2.523526124
4,2.817488427
4,2.564124187
4,2.44438519
4,2.270450117
4,2.462807408
4,1.856872818
5,2.56711024
5,1.985056372
5,2.480260731
5,2.52182046
5,5.890650256
5,2.956689417
5,3.300902119
5,3.054249112
5,2.594751189
5,2.771964006
5,2.880002232
5,1.911718753
6,1.639142877
6,0.656110025
6,0.968643534
6,1.231344926
6,4.796432506
6,1.445057447
6,2.067062346
6,2.356737462
6,2.091638505
6,1.970116049
6,2.309916308
6,2.018381195
7,1.910386817
7,1.862446521
7,2.752487082
7,2.348459652
7,6.463280297
7,2.497315808
7,4.550555872
7,3.927477566
7,3.789916704
7,3.474785958
7,3.743515955
7,2.95158861
8,3.446671483
8,3.455507685
8,4.962097155
8,3.438523959
8,6.748486706
8,2.849355899
8,5.140647094
8,4.012748552
8,3.866524051
8,3.42441973
8,3.536882345
8,2.591507707
9,3.994009341
9,2.302744437
9,3.931465046
9,3.485727799
9,3.848657396
9,2.906295843
9,4.776302422
9,3.430055513
9,2.770951262
9,3.316968342
9,3.291441989
9,2.223981003
10,3.891373985
10,2.0395828
10,3.538507386
10,3.596924327
10,3.348046239
10,3.316535207
10,5.451350939
10,4.319522122
10,3.461013967
10,4.372163408
10,4.990928911
10,3.404691664
11,4.237380205
11,3.282870131
11,5.138871493
11,4.633164243
11,4.047675943
11,3.869572654
11,6.193582504
11,4.996025632
11,4.27603859
11,4.638738104
11,5.254429858
11,3.770290478
12,4.23964269
12,2.96381854
12,4.191340297
12,4.277803504
12,3.900284681
12,3.481596988
12,5.772489938
12,4.696214909
12,3.895247681
12,4.510789819
12,4.801446246
12,3.543471463
