Month,SAT
1,12.03249512
1,10.03234253
1,10.04247437
1,15.23180542
1,7.854364014
1,12.26192627
1,17.34966431
1,15.93822632
1,13.67019043
1,18.10662231
1,17.68218384
1,16.29506836
2,11.76540527
2,9.614068604
2,9.279748535
2,14.95690308
2,8.944024658
2,11.50377808
2,16.98723755
2,15.51482544
2,12.73723755
2,17.70949707
2,17.1803833
2,15.3388916
3,12.54094849
3,10.56749878
3,9.883508301
3,15.68013916
3,11.92635498
3,12.02556763
3,17.40932617
3,16.18883667
3,13.26802979
3,18.08608398
3,17.62731323
3,15.71157227
4,14.01778564
4,12.36837158
4,11.38820801
4,16.79519043
4,14.48198853
4,13.50667725
4,18.20018921
4,17.28243408
4,14.84917603
4,18.90096436
4,18.49321899
4,16.93914185
5,17.63881836
5,16.85778198
5,15.62822876
5,19.79033813
5,19.15923462
5,17.62157593
5,20.70354614
5,20.4059082
5,18.79381714
5,21.43447266
5,21.28572998
5,20.44088135
6,22.95116577
6,23.12581787
6,21.99434814
6,24.81246338
6,24.05834351
6,23.27834473
6,24.78099976
6,24.8130127
6,23.81072388
6,24.98909912
6,24.96254883
6,24.57796631
7,27.41018066
7,27.03411255
7,26.33873901
7,28.28826294
7,26.15743408
7,26.89394531
7,27.84847412
7,27.64898071
7,26.84145508
7,27.40200195
7,27.34252319
7,27.11431274
8,28.29125366
8,27.58031616
8,27.10888062
8,28.86559448
8,26.27584229
8,27.58284912
8,28.62450562
8,28.31310425
8,27.60213623
8,28.19564209
8,28.10259399
8,27.89006958
9,25.57610474
9,24.56075439
9,24.15725098
9,26.97060547
9,23.42696533
9,25.31893311
9,27.40990601
9,26.97893677
9,26.11547241
9,27.63118896
9,27.49862061
9,27.08373413
10,21.02660522
10,19.49141846
10,19.40096436
10,23.16060791
10,18.23806152
10,21.23214111
10,24.28273926
10,23.51513062
10,22.4036499
10,24.94289551
10,24.72832642
10,24.20760498
11,16.1947876
11,14.68279419
11,15.03457031
11,18.97698364
11,12.53557739
11,17.10869751
11,20.65975342
11,19.67315063
11,18.57247314
11,21.43410645
11,21.26824341
11,20.74450073
12,13.57003174
12,11.63424072
12,11.81304321
12,16.69854126
12,9.045495605
12,14.10692749
12,18.65496216
12,17.36281738
12,15.67766724
12,19.37996826
12,19.05806885
12,18.10033569
